"teamId","headline","storySoFar","whatsNext","pubAmmo"
"COL","Colombia's Comeback Kings: Overcome Uzbekistan's Header Heroics with a Three-Goal Blitz!","Colombia only had one game, but it was a solid 3-1 win against Uzbekistan. They went a goal down to a header, which isn't ideal, but then Daniel Muñoz, Luis Díaz, and a late header from Jaminton Campaz sealed the deal. Showed good resilience and plenty of attacking firepower, even if they did let one in.","Keep that attacking threat going, because it clearly works. Maybe tighten up the defence a bit, especially against aerial threats, so they don't have to always come from behind.","Despite winning 3-1 against Uzbekistan, Colombia actually conceded a header (Abbosbek Fayzullaev) and then scored one themselves (Jaminton Campaz's late goal). All about the headers, apparently!"
"CPV","Cape Verde's Draws Delight: Shock Spain, Then Share the Spoils in a Four-Goal Thriller!","What a start for Cape Verde! Kicked things off with an absolutely brilliant nil-nil draw against Spain – who saw that coming? Proper defensive masterclass, that. Then, they followed it up with a cracking, end-to-end 2-2 draw against Uruguay, scoring a beauty of a free-kick and a lovely volley from outside the box. Two draws from two is nothing to sniff at for the underdogs!","They've shown they can defend with the best and have some attacking flair. Now, the challenge is to turn those impressive draws into wins. They've got the potential to upset a few more teams, for sure.","Cape Verde held mighty Spain to a 0-0 draw, and then scored a free-kick (Kevin Pina) and a volley from outside the box (Hélio Varela) in their 2-2 draw against Uruguay! Punching well above their weight!"
"CRO","Croatia: From Level Pegging to Crumbled Dreams in a Flash!","Oh, Croatia! They showed flashes of brilliance, twice clawing back to level terms against England. Baturina and Musa clearly didn't read the script about rolling over for the Three Lions. But then, as soon as the second half started, it was 'game over, thanks for coming'. Conceded two quick goals and that was that. You'd think they'd learn to defend a lead after all these years, wouldn't you?","They need to find some defensive solidity, and fast. Conceding four goals in one match, even to England, isn't exactly World Cup winning form. Perhaps less 'liquid football' and more 'brick wall' at the back will do them some good. Modric being subbed off seemed to drain the life out of them, so they'll need to figure out how to cope without their maestro for the full 90.","Did you know Croatia managed to score two goals in the first half against England, only to concede two more in the second and still lose by two goals? Proper bottling it!"
"CUW","Curaçao: The Ultimate Rollercoaster – From Shock Goal to Six-Goal Thrashing!","What a laugh! Curaçao actually dared to equalise against Germany! Absolute scenes, I tell ya. For about ten minutes, they had the whole stadium wondering if a miracle was on the cards. Then Germany remembered who they were, and it quickly became a training exercise. Seven-one, ouch! Followed that up with a thrilling 0-0 against Ecuador, where the most notable events were drinks breaks and a flurry of yellow cards. Riveting stuff.","Well, they've shown they can score against a big team, even if it was just one. Now they need to combine that with, you know, not letting in seven! And maybe try to keep 11 men on the pitch without getting booked every five minutes. Scoring goals and not getting clattered by every passing breeze would be a good start.","Curaçao scored against Germany, but in their two matches, they conceded seven goals and only managed one point. Also, they picked up five yellow cards in their 0-0 draw with Ecuador – talk about a casual kickabout in the park!"
"CZE","Czechia: Masters of the Early Lead, Champions of the Late Collapse!","Czechia started both their games like a house on fire, getting themselves in front. You think, 'Right, they're going to put their feet up and see this out.' Nope! Against Korea, they took the lead, then just stood there and watched Korea bag two. Then against South Africa, they scored early, but true to form, managed to concede a late penalty to completely bottle the win. It's almost impressive how consistently they fail to hold onto a lead.","They need to learn what 'seeing out a game' actually means. Getting your noses in front is one thing, but if you can't defend for love nor money, you're just inviting trouble. More grit, less soft-centre, please. Otherwise, they'll be watching the knockout stages from their sofas.","Did you know Czechia scored the opening goal in both their matches but failed to win either, conceding a late equaliser from a penalty against South Africa?"
"ECU","Ecuador: The Great Wall of… Zero Goals?!","Well, if you like nil-nils and 1-0 defeats, Ecuador's your team! Two games, not a single goal scored. They managed to lose to Ivory Coast after conceding in the 90th minute, which is just classic, isn't it? Then they treated us all to a glorious 0-0 draw against Curaçao, where the biggest drama seemed to be the drinks breaks. You wouldn't want to be paying to watch that, would you?","Someone needs to remind them where the goal is. Seriously, any player. The keeper, the centre-back, anyone! They need to find some attacking threat, or they'll be packing their bags quicker than you can say 'early flight home'. It's all well and good being solid at the back, but if you don't put the ball in the net, you won't win a thing.","Ecuador played two matches and failed to score a single goal, managing only one point in the process. Talk about blunt force trauma to the opposition net!"
"EGY","Salah & Co. Find Their Groove, Despite a Bit of Self-Sabotage!","Egypt started with a bit of a mixed bag, drawing with Belgium after one of their own defenders decided to score for the opposition! Classic. But then, they showed some proper grit, coming from a goal down against New Zealand to bag a comfortable win. Mohamed Salah, as expected, was pulling the strings, getting a goal and an assist. So, not all doom and gloom, then.","Keep Mo Salah fit and happy, that's the main thing. If he's firing, they've got a chance. They'll want to cut out those little defensive lapses, like the own goal, because against better opposition, those are going to be properly punished. More of the comeback spirit, less of the 'helping hand' to the opposition.","Egypt conceded an own goal against Belgium but still managed to salvage a 1-1 draw, before Mohamed Salah contributed to two goals (one goal, one assist) in their win over New Zealand."
"ENG","Kane's Double Dares England to Dream, Despite Defensive Dithers!","Well, England, eh? Took the lead, gave it away. Took it again, gave it away again. It was a proper end-to-end affair against Croatia, almost like a playground game! Harry Kane, bless him, is still a walking cheat code, bagging a penalty and a header. Then Bellingham and Rashford came off the bench and put the game to bed. Exciting to watch, if a bit nerve-wracking for the English faithful.","Gareth needs to decide if he wants to win games or give everyone a heart attack! They've got the firepower, clearly, but those two quick goals conceded in the first half against Croatia will have him pulling his hair out. Finding that balance between attacking flair and defensive solidity will be key. More of the second-half composure, less of the first-half 'Sunday League defending'.","Did you know Harry Kane scored a penalty and a header against Croatia, while Jude Bellingham and Marcus Rashford added goals after coming off the bench to secure a 4-2 win for England?"
"ESP","Spain: From Snooze-fest to Saudi Slaughter – They Finally Woke Up!","Crikey, Spain started with a proper stinker, didn't they? A goalless draw against Cabo Verde. Honestly, I've seen more excitement in a library. But then, fair play to them, they rocked up against Saudi Arabia and put on a show! Four goals, two for Mikel Oyarzabal, and even an own goal from the Saudis. It's like they had a strong cup of coffee at half-time between matches.","They need to find that 'Saudi Arabia form' against every team, not just when they fancy it. While a 0-0 can happen, they've got enough talent to unlock most defences. Consistency is the name of the game. If they can replicate that attacking prowess, they'll be a handful, but if they revert to their Cabo Verde form, they'll be out before you can say 'tiki-taka'.","Spain went from a 0-0 draw against Cabo Verde to scoring three first-half goals and winning 4-0 against Saudi Arabia, with Mikel Oyarzabal bagging a brace!"
"FRA","Mbappé's Magic Leads France to Two Dominant Wins!","France, as expected, are looking like a proper machine, aren't they? Two games, two wins, six goals scored. Kylian Mbappé is just a walking cheat code, bagging four goals himself! They looked comfortable against both Senegal and Iraq, even if Senegal did grab a consolation right at the death. No real squeaky bum time for the French, just pure, unadulterated liquid football.","Keep Mbappé fit, frankly! He's the main man, and if he's firing, France are a massive threat. They'll want to ensure they don't get complacent, especially if they're letting teams grab late goals. But overall, they're looking strong and certainly one of the favourites to go deep into the tournament.","Kylian Mbappé scored four goals in just two matches for France, helping them to two commanding victories where they scored exactly three goals in each game."
"GER","Germany's Goal-Fest Continues, But Can They Keep it Tight at the Back?","Germany absolutely hammered Curaçao, seven-one! Even after conceding a shock equaliser, they just turned it on. But then, against Ivory Coast, they decided to make things interesting, going a goal down before Deniz Undav popped up with two goals, including a late winner. So, goals galore, but maybe a few too many moments of 'what are we doing?' at the back.","They've clearly got the firepower, with Undav looking like a proper fox in the box. But they need to sort out that leaky defence. You can't always rely on scoring three or more to win a game. A bit more discipline, a bit more solidity, and they'll be a serious contender. Otherwise, it'll be a case of outscoring the opposition in every match, which is a risky business.","Deniz Undav scored three goals in two matches for Germany, including two decisive goals that helped them secure victories, one of which was a 94th-minute winner!"
"GHA","Ghana Snatch It at the Death! Injury Time Heroics!","Talk about late drama! Ghana looked like they were heading for a rather uninspiring draw against Panama, with more delays and injuries than actual chances. But then, deep into injury time, Caleb Yirenkyi popped up with a winner! Absolute scenes, I tell ya. A proper scrappy affair, but they got the job done when it mattered most.","While a 95th-minute winner is fantastic for the highlights reel, they probably want to aim for a slightly less stressful route to victory in the future. Finding a bit more attacking fluency earlier in the game would do wonders. They showed grit, but relying on last-gasp heroics can only get you so far.","Ghana's only goal in their opening match against Panama came in the 95th minute, scored by Caleb Yirenkyi, securing a dramatic 1-0 victory."
"HAI","Haiti's Goal Drought Continues: A Tale of Two Defeats!","Oh dear, Haiti. Two games, zero goals scored, and two losses. They conceded early against Scotland and then three against Brazil. It's not exactly inspiring stuff, is it? Plenty of effort, I'm sure, but you've got to put the ball in the net to win football matches. They just couldn't find that clinical edge.","They absolutely, positively, unequivocally need to score a goal. Any goal! A tap-in, a screamer, an own goal from the opposition, I don't care! Just get the ball over the line. Without goals, you're going nowhere in this tournament. Perhaps a few extra shooting drills are in order?","Haiti failed to score a single goal in their two matches, losing 1-0 to Scotland and 3-0 to Brazil, conceding in both first halves."
"IRN","Iran: The Draw Specialists Who Just Won't Back Down!","Iran are proving to be a stubborn old bunch, aren't they? Two games, two draws. They showed proper character against New Zealand, coming from behind not once, but twice, to grab a point. Then they held a 10-man Belgium to a goalless draw. Not exactly 'liquid football', but they're certainly tough to beat. You've got to respect the resilience.","They've shown they can dig in and get results, but now they need to turn those draws into wins. Finding that extra bit of cutting edge in attack, especially when the opposition is down to ten men, will be crucial. They've got the fight; now they need the finesse.","Iran managed to come from behind twice in their 2-2 draw against New Zealand, before holding 10-man Belgium to a goalless draw in their next match."
"IRQ","Iraq's Tour de Force: How to Lose Graciously (and Score an Own Goal!)","Well, Iraq have certainly made an impression, if 'impression' means 'being utterly outclassed'. They got thoroughly spanked 4-1 by Norway, with Haaland having a casual kickabout in the park against their defence, and then topped it off with an absolute howler of an own goal from Aymen Hussein right at the death. Just when you thought it couldn't get worse, France turned up and gave them a good old 3-0 thrashing. Zero points, one goal scored, seven conceded, and one of those goals against them was their own doing. Proper Sunday League defending, that.","Frankly, they need to remember which end is which and try not to score for the opposition. They'll be looking to tighten things up at the back, because right now, they're more open than a supermarket on Christmas Eve. Any points would be an absolute bonus, though a clean sheet might require a minor miracle.","Did you know Aymen Hussein's own goal against Norway meant he scored for both teams in that match? Quite the collector's item, that!"
"JOR","Jordan's Journey: From Hopeful Start to Heartbreak Hotel","Jordan came into this hoping for a bit of magic, but it’s been more like a disappearing act. They managed to grab a goal against Austria, only to then concede an own goal from Yazan Al Arab and let Austria score a penalty late on to make it 3-1. Then, against Algeria, they actually took the lead, only to completely bottle it and lose 2-1. So close, yet so far. Plenty of fight, but not quite enough quality where it counts.","They've shown glimpses of potential, particularly taking the lead against Algeria. They need to figure out how to hold onto a lead and stop inviting pressure. If they can sort out the defensive wobbles and avoid any more own goals, they might just snatch something, but it's looking like squeaky bum time for them.","Jordan managed to score the opening goal against Algeria, a cracking strike from Nizar Al Rashdan, but still ended up losing the match 2-1."
"JPN","Japan's Rollercoaster: From Dutch Delight to Tunisian Takedown!","Right, Japan are having a proper go, aren't they? Started with a cracking 2-2 draw against the Netherlands, coming back twice from behind – a Nakamura screamer and a Kamada header, absolute scenes! Then they decided to show Tunisia how it's done, rocking up and delivering a professional 4-0 demolition. Two goals from Ueda, Kamada getting another, and Ito joining the party. They're playing some liquid football and looking like a real threat.","Keep doing exactly what they're doing! Their attack is sharp, and they've shown great resilience. If they can maintain this attacking verve and perhaps shore up the back just a touch more against the big boys, they could surprise a few. Definitely one to watch.","Japan came from behind twice against the Netherlands in their 2-2 draw, with Keito Nakamura and Daichi Kamada bagging the equalisers."
"KOR","South Korea's See-Saw: Comeback Kings to Mexican Muddle!","South Korea are a bit like a box of chocolates, aren't they? You never quite know what you're going to get! They showed proper grit to come from a goal down against Czechia, with Hwang In-Beom and a late Oh Hyeon-Gyu strike sealing a 2-1 win. But then, against Mexico, they went a bit flat, couldn't find the back of the net, and ended up losing 1-0. Son Heung-Min being taken off in both games is certainly a talking point for the pub!","They've got the talent, but consistency is key. They need to ensure their attacking players are firing on all cylinders for the full ninety. If they can recapture the spirit of that Czechia comeback and translate it into a full game, they'll be a tough nut to crack. Otherwise, it'll be an early flight home.","South Korea managed to win against Czechia after conceding first, scoring two goals in the second half to turn the game around."
"KSA","Saudi Arabia's Split Personality: Uruguay Draw, Spanish Slaughter!","Saudi Arabia gave us a proper mixed bag, didn't they? Started off with a respectable 1-1 draw against Uruguay, even taking the lead with a goal from Abdulelah Al Amri. Everyone thought, 'Alright, fair play!' Then, Spain rocked up and absolutely tore them to shreds, winning 4-0, including an early own goal from Hassan Al Tambakti. That's a proper reality check, going from holding Uruguay to getting completely outplayed.","They need to forget that Spain game ever happened and go back to the drawing board. If they can replicate the defensive organisation and counter-attacking threat they showed against Uruguay, they might have a chance. But if they play like they did against Spain, they'll be putting their feet up very soon.","Saudi Arabia conceded an own goal against Spain, making it 4-0 to the Europeans, just days after holding Uruguay to a 1-1 draw."
"MAR","Morocco's Masterclass: From Brazil Brilliance to Scottish Scrappers!","Morocco are quietly getting the job done, aren't they? Held Brazil to a respectable 1-1 draw, with Ismael Saibari finding the net. Then, they faced Scotland and managed a professional 1-0 win, with Saibari bagging another goal early on. They look solid at the back and clinical upfront. Two games, two impressive results, and only one goal conceded. Proper organised, that.","Keep that defensive solidity, and let Ismael Saibari keep doing his thing! They're showing they can compete with the big boys and grind out results when needed. If they maintain this form, they could definitely cause a few upsets. Morocco are looking like a dark horse!","Ismael Saibari has scored both of Morocco's goals across their two matches, securing a draw against Brazil and a win over Scotland."
"MEX","Mexico's March: Clean Sheets and Red Cards Galore!","Mexico are doing bits, aren't they? Two games, two wins, and two clean sheets! They dispatched South Africa 2-0, with Quiñones and Jiménez on the score sheet, though South Africa did help themselves to two red cards. Then they followed it up with a solid 1-0 victory over South Korea, Luis Romo bagging the winner. Bit of handbags against South Africa with César Montes getting sent off, but hey, a win's a win!","Maintain that defensive discipline and keep the goals flowing! Two clean sheets are nothing to scoff at. They'll need to watch the discipline though, no more silly red cards if they want to go deep. Looking good for the next round, if they don't get distracted by any more red card dramas!","In their 2-0 win against South Africa, Mexico saw South Africa receive two red cards, and then had a man sent off themselves with César Montes seeing red in injury time!"
"NED","Netherlands' Mixed Bag: Japan Jitters to Sweden Slaughter!","The Netherlands are a funny old side, aren't they? They kicked off with a slightly embarrassing 2-2 draw against Japan, letting a lead slip twice. Van Dijk got a header, and Summerville grabbed one, but they just couldn't hold on. Then, they decided to unleash the beast against Sweden, absolutely hammering them 5-1! Brobbey got a brace, Gakpo got a brace, and Summerville added another. Proper liquid football when they're on it, but a bit shaky when they're not.","They need to sort out that defensive concentration they showed against Japan. If they can play with the attacking freedom and ruthlessness they displayed against Sweden, they'll be a handful for anyone. But if they're still letting teams back into games like Japan did, it could be a short tournament for them.","The Netherlands scored five goals against Sweden, but only managed two against Japan despite leading twice in that match."
"NOR","Norway's Haaland Show: The Walking Cheat Code Delivers!","Right, Norway are basically the Erling Haaland show, and what a show it is! They walloped Iraq 4-1, with Haaland bagging a brace. Then, against Senegal, he only went and scored another two, leading them to a 3-2 victory! The man's an absolute walking cheat code. Marcus Pedersen even chipped in with a goal against Senegal too. They're winning games, even if the defence lets in a couple now and then.","Keep feeding Haaland! Seriously, he's carrying them, but others are chipping in. If they can continue to unlock defences and Haaland keeps doing what he does, they'll be a serious problem for any team. The defence might need a bit of a pep talk, mind you, as conceding against Iraq and twice against Senegal isn't exactly rock solid.","Erling Haaland scored four goals across Norway's two matches, bagging a brace against Iraq and another brace against Senegal."
"NZL","New Zealand's Near Misses: The All Whites' Rollercoaster Ride!","New Zealand, bless 'em, are giving it a go! Started with a decent 2-2 draw against Iran, with Elijah Just bagging both goals. Proper fox in the box, that lad! But then, against Egypt, they went and pulled a proper bottle job. Took the lead with a Finn Surman header, only to concede three unanswered goals and lose 3-1. Just can't seem to hold onto a lead, can they?","They need to find some consistency, especially at the back. Scoring goals isn't their biggest problem, but keeping them out is proving tricky. If they can tighten up defensively and hold their nerve when ahead, they might just surprise someone. Otherwise, it's back to the rugby pitch for them!","New Zealand scored the opening goal against Egypt through Finn Surman but then conceded three goals to lose the match 3-1."
"PAN","Panama's Pains: Late Goal Heartbreak and Zero Goals to Show For It!","Panama's start? Well, it's not exactly setting the world alight, is it? One game, one loss, and more importantly, zero goals scored. They battled hard against Ghana but eventually succumbed to a Caleb Yirenkyi goal in the 95th minute. Ouch. Conceding that late? That's a proper kick in the teeth. Couldn't hit a barn door with a banjo, let alone the back of the net.","They need to find their scoring boots, and fast! Relying on a clean sheet and hoping for the best clearly isn't working. Get some shots on target, for goodness sake! If they don't start converting chances, it's going to be a very short and forgettable tournament for them.","Panama lost their only match 1-0 to Ghana, conceding the winning goal in the 95th minute."
"PAR","Paraguay's Peculiar Path: Own Goal Disaster to 10-Man Triumph!","Paraguay are a confusing bunch, aren't they? Started with an absolute nightmare against the USA, getting thrashed 4-1, including an early own goal from Damián Bobadilla. Proper defensive horror show. Then, just when you thought they were down and out, they turned up against Türkiye, got a red card for Miguel Almirón in first-half injury time, and *still* managed to win 1-0 thanks to an early Matías Galarza goal! Absolute scenes, that!","They clearly need to decide which team they are! The one that gets battered and scores own goals, or the one that pulls off heroic 10-man victories. Sort out the discipline, cut out the silly mistakes, and harness that fighting spirit from the Türkiye game. If they can do that, they might just surprise a few more teams.","Paraguay managed to win 1-0 against Türkiye despite having Miguel Almirón sent off with a red card in first-half injury time."
"POR","Portugal's 'Golden Generation' Bottled It Against... Congo DR? Hold My Pint!","Well, the mighty Portugal started with a bang, João Neves nodding one in early. You thought they'd cruise, didn't you? But no, they decided to switch off and let Congo DR score a 'very close range' header just before half-time. Three yellow cards too, sounds like they were more interested in a scrap than playing liquid football. A draw against a team they should be hammering? Not exactly inspiring stuff, is it?","They need to wake up and smell the Nando's before the real games begin. If they can't dominate a side like Congo DR, then the actual World Cup is going to be a rude awakening. More intensity, less faffing about with yellow cards, and certainly no more Sunday League defending!","Did you know Portugal conceded a header from 'very close range' just before half-time against Congo DR? Almost sounds like an England defence, doesn't it?"
"QAT","Qatar: From Swiss Scrape to Canadian Catastrophe! Are We Sure They're Hosting?","Kicked off with a cheeky draw against Switzerland, though they needed an own goal to snatch a point. You thought, 'alright, maybe they've got a bit of fight.' Then Canada came along and gave them an absolute pasting – six-nil! And two red cards, just to show they completely lost their heads. Sounds like they completely bottled it, the poor sods.","They need to find a defence, a midfield, and probably a new game plan before anyone else gives them a proper hiding. Six goals is a humiliation. They'll be putting their feet up watching the knockouts if this carries on.","Did you know Qatar managed to get *two* red cards in their 6-0 thrashing by Canada? Talk about a proper bottle job!"
"RSA","Bafana Bafana's Red Mist: Two Games, Three Sendings Off! Is This Football or UFC?","Started with a bit of a shocker against Mexico, going down 2-0 and picking up a red card for Yaya Sithole. Then, just when you thought it couldn't get worse, Themba Zwane decided to join him for 'violent conduct' in the *same match*! A draw against Czechia with a penalty was a slight improvement, but they're racking up the yellows too. This isn't football, it's a wrestling match!","They need to learn how to keep eleven men on the pitch, for starters. Discipline is a shambles. You can't compete at this level if you're constantly playing with a man (or two!) down. Sort it out, lads, or you'll be watching from the stands.","Did you know South Africa had *three* players sent off in just two matches? That's more red cards than goals scored!"
"SCO","Scotland's Single-Goal Saga: Are We Just Here for the Haggis and the Narrow Wins?","A win's a win, they say, but a solitary goal against Haiti, even if it was McGinn, isn't exactly setting the world alight, is it? Then Morocco came along and gave them a dose of reality, another single-goal affair, but this time they were on the wrong end of it. Kieran Tierney going off injured won't help the Tartan Army's mood either. It's all a bit... predictable.","They need to find a way to score more than one goal, or at least consistently keep clean sheets. They're looking a bit toothless up front, relying on individual brilliance. It's squeaky bum time if they can't find some attacking flair.","Did you know Scotland's last two matches both ended 1-0, with them winning one and losing the other? Talk about fine margins!"
"SEN","Senegal: Almost There, But Mbappé and Haaland Had Other Plans!","Well, they certainly picked some tough opponents, didn't they? Giving France a good run for their money for 65 minutes before Mbappé decided to turn into a walking cheat code and bag two goals. Then Haaland did the same for Norway, scoring two in their 3-2 loss. Ismaïla Sarr is doing his best, a proper fox in the box, but it's not enough to stop the world-class talent when the defence is a bit porous.","They're showing flashes of brilliance, especially in attack, but their defence needs to tighten up against the big boys. They can't keep letting top strikers waltz through and score. Time to put some proper tackles in and get organised at the back.","Did you know Senegal conceded two goals to Kylian Mbappé and two goals to Erling Haaland in their last two matches? Not exactly easy going, eh!"
"SUI","Switzerland's Odd Couple: Own Goal Blushes and Bosnian Bashes!","Started with a bit of a wobble, needing an own goal from Qatar to share the spoils – not exactly a strong statement, was it? But then, *pow*, they turned up against Bosnia and Herzegovina, absolutely smashing them 4-1! Manzambi and Vargas getting amongst the goals. Seems they prefer teams that actually let them play. A proper mixed bag.","Consistency, lads! Can't be scraping draws one minute and hammering teams the next. They need to bring that attacking confidence from the Bosnia game to every match. Stop relying on opposition defenders to do your job!","Did you know Switzerland scored four goals in their win against Bosnia and Herzegovina, but could only manage a draw against Qatar after an own goal?"
"SWE","Sweden's Goal-Fest Rollercoaster: From Five Up to Five Down! What Just Happened?","Talk about Jekyll and Hyde! Absolutely hammered Tunisia 5-1, with Ayari and Isak looking sharp. Proper liquid football. Then, the very next game, they went and got absolutely spanked 5-1 by the Netherlands! You'd think they swapped their boots for clogs at half-time. One goal in two games they actually scored themselves. Where's the consistency?","They clearly know where the goal is when they're on form, but that defence needs a serious look-in. You can't be shipping five goals one minute and expecting to compete. Get back to basics at the back and stop having a casual kickabout.","Did you know Sweden both scored *and* conceded five goals in their last two matches? That's ten goals in two games, not for the faint-hearted!"
